Rang  ; Maedchen  ; Anzahl  ; Knaben  ; Anzahl 
1;Sophie;37;Maximilian   ;21
2;Marie  ;25;Noah;21
3;Mia  ;15;Luca  ;20
4;Anna  ;14;Leon  ;18
5;Emilia  ;14;Ben  ;16
6;Johanna  ;11;Jan  ;15
7;Katharina  ;11;Alexander  ;14
8;Lea  ;11;Elias  ;14
9;Leonie  ;11;Jonas  ;14
10;Hannah  ;10;Jason  ;13
11;Lina  ;10;Lukas  ;13
12;Charlotte  ;9;Joel  ;12
13;Emily;9;David ;11
14;Emma;9;Julian;11
15;Julia  ;9;Philipp;11
16;Laura;9;Luis;10
17;Maria  ;9;Nick  ;10
18;Sarah  ;9;Niklas  ;10
19;Celine  ;8;Nico  ;9
20;Jana  ;8;Tom  ;9
21;Lena  ;8;Erik  ;8
22;Luisa  ;8;Florian  ;8
23;Maya ;8;Jakob;8
24;Lara;7;Mika;8
25;Lilly  ;7; Noel;8
26;Melina;7;Peter;8
27;Sophia;7;Tim;8
28;Amelie  ;6;Fabian;7
29;Ceylin;6; Linus;7
30;Jasmin;6;Can;6
