Rang;Maedchen;Anzahl;Knaben;Anzahl
1;Marie;45;Luca;27
2;Sophie;30;Elias;19
3;Mia;29;Maximilian;19
4;Maria;21;Noah;19
5;Lina;19;Paul;19
6;Emma;18;Ben;16
7;Luisa;14;Jonas;15
8;Lea;13;Alexander;13
9;Katharina;12;Leon;12
10;Sophia;12;Felix;10
11;Emilia;11;Jan;10
12;Lena;11;Julian;10
13;Pia;11;Max;10
14;Laura;10;Emir;9
15;Emily;9;Liam;9
16;Leonie;9;Adrian;8
17;Elisabeth;8;Anton;8
18;Jana;8;Emilio;8
19;Lara;8;Finn;8
20;Lilly;8;Moritz;8
21;Nora;8;Nico;8
22;Johanna;7;Aaron;7
23;Leni;7;David;7
24;Lia;7;Florian;7
25;Lisa;7;Joel;7
26;Maja;7;Leonard;7
27;Mara;7;Malik;7
28;Maya;7;Noel;7
29;Amelie;6;Simon;7
30;Anna;6;Tim;7
