vorname;anzahl;geschlecht
Marie;35;w
Alexander;32;m
Sophie;30;w
Emilia;27;w
Mia;25;w
Elias;23;m
Maximilian;23;m
Ben;22;m
Luca;22;m
Emma;22;w
Jonas;19;m
Lena;18;w
Felix;18;m
Maria;18;w
Mila;18;w
Paul;17;m
Leon;16;m
Noah;16;m
Luisa;13;w
Marlene;13;w
Louis;13;m
Amelie;12;w
Finn;12;m
Emily;12;w
Max;12;m
Lina;12;w
Nele;12;w
Julian;11;m
Mats;11;m
Sophia;11;w
Jakob;10;m
Johanna;10;w
Jan;10;m
Joel;10;m
Tim;10;m
Greta;9;w
Lotta;9;w
Sofia;9;w
Emil;9;m
Henri;9;m
Samuel;9;m
Tom;9;m
John;8;m
Linus;8;m
Noel;8;m
Alina;7;w
Anna;7;w
Elif;7;w
Jana;7;w
Laura;7;w
Leni;7;w
Pia;7;w
Ali;7;m
Anton;7;m
Johannes;7;m
Liam;7;m
Theo;7;m
Amalia;6;w
Charlotte;6;w
Elisabeth;6;w
Franziska;6;w
Josefine;6;w
David;6;m
Katharina;6;w
Erik;6;m
Lea;6;w
Fabian;6;m
Paula;6;w
Jayden;6;m
Justus;6;m
Luis;6;m
Lukas;6;m
Michael;6;m
Milan;6;m
Nico;6;m
Amy;5;w
Clara;5;w
Frieda;5;w
Hanna;5;w
Ida;5;w
Josephine;5;w
Leonie;5;w
Aaron;5;m
Lia;5;w
Adrian;5;m
Mara;5;w
Damian;5;m
Marleen;5;w
Eric;5;m
Nisa;5;w
Florian;5;m
Sofie;5;w
Gabriel;5;m
Henry;5;m
Lennard;5;m
Leo;5;m
Niklas;5;m
Ole;5;m
Till;5;m
Tyler;5;m
Yusuf;5;m
Alexandra;4;w
Annika;4;w
Ela;4;w
Elena;4;w
Frida;4;w
Hannah;4;w
Isabella;4;w
Julia;4;w
Lara;4;w
Andreas;4;m
Lilly;4;w
Berat;4;m
Lotte;4;w
Bruno;4;m
Louisa;4;w
Can;4;m
Lucia;4;w
Emir;4;m
Luise;4;w
Fynn;4;m
Matilda;4;w
Jason;4;m
Melina;4;w
Johann;4;m
Mina;4;w
Julien;4;m
Mira;4;w
Julius;4;m
Pauline;4;w
Leonard;4;m
Sara;4;w
Levin;4;m
Valentina;4;w
Lion;4;m
Zahraa;4;w
Martin;4;m
Zeynep;4;w
Mika;4;m
Zoe;4;w
Moritz;4;m
Muhammed;4;m
Nick;4;m
Phil;4;m
Philipp;4;m
Phillip;4;m
Sam;4;m
Sebastian;4;m
Simon;4;m
Valentin;4;m
Vincent;4;m
William;4;m
Alisa;3;w
Amelia;3;w
Amina;3;w
Amira;3;w
Anni;3;w
Christina;3;w
Claudia;3;w
Diana;3;w
Dilara;3;w
Eslem;3;w
Giulia;3;w
Isabell;3;w
Ahmet;3;m
Jule;3;w
Alessio;3;m
Kim;3;w
Benedikt;3;m
Larissa;3;w
Devin;3;m
Liliana;3;w
Elyas;3;m
Luana;3;w
Emre;3;m
Mariam;3;w
Ensar;3;m
Michelle;3;w
Filip;3;m
Nora;3;w
Idris;3;m
Nur;3;w
James;3;m
Olivia;3;w
Jona;3;m
Romy;3;w
Josef;3;m
Rosalie;3;w
Joshua;3;m
Victoria;3;w
Kilian;3;m
Viktoria;3;w
Konstantin;3;m
Zoey;3;w
Kuzey;3;m
Lasse;3;m
Leander;3;m
Levi;3;m
Lio;3;m
Malik;3;m
Malte;3;m
Marius;3;m
Maxim;3;m
Miguel;3;m
Milo;3;m
Mirza;3;m
Niko;3;m
Oliver;3;m
Oskar;3;m
Rayan;3;m
Selim;3;m
Timo;3;m
Tobias;3;m
Wilhelm;3;m
Yiğit;3;m
Adele;2;w
Alexa;2;w
Alice;2;w
Alissa;2;w
Antonia;2;w
Arina;2;w
Aurelia;2;w
Bella;2;w
Brigitte;2;w
Carla;2;w
Carlotta;2;w
Caroline;2;w
Cecilia;2;w
Celina;2;w
Ceylin;2;w
Charlotta;2;w
Elin;2;w
Elina;2;w
Emilie;2;w
Ernestina;2;w
Estelle;2;w
Adam;2;m
Fabienne;2;w
Ahmed;2;m
Fatma;2;w
Amin;2;m
Finja;2;w
Andre;2;m
Fiona;2;w
André;2;m
Freya;2;w
Angelo;2;m
