Rang;Maedchen;Anzahl;Knaben;Anzahl
1;Marie;41;Alexander;22
2;Sophie;35;Maximilian;22
3;Maria;17;Paul;19
4;Mia;17;Ben;18
5;Johanna;16;Leon;18
6;Emma;14;Luca;16
7;Katharina;14;Jan;15
8;Anna;13;Jonas;14
9;Sophia;13;Elias;13
10;Emily;12;Noah;13
11;Lena;12;Tim;13
12;Emilia;11;Joel;12
13;Lea;11;Julian;12
14;Lina;11;Louis;11
15;Charlotte;10;Lukas;11
16;Amelie;9;Niklas;10
17;Laura;9;David;9
18;Pia;9;Simon;9
19;Hannah;8;Tom;9
20;Lilly;8;Felix;8
21;Luisa;8;Finn;8
22;Nisa;8;Kaan;8
23;Sarah;8;Luis;8
24;Leona;7;Adrian;7
25;Paula;7;Ali;7
26;Antonia;6;Fynn;7
27;Helen;6;Muhammed;7
28;Ida;6;Nico;7
29;Lara;6;Samuel;7
30;Leni;6;Florian;6
