Rang;Mädchen;Anzahl;Knaben;Anzahl
1;Sophie;43;Noah;21
2;Marie;40;Ben;19
3;Mia;23;Jonas;18
4;Maria;19;Leon;18
5;Lina;18;Maximilian;16
6;Anna;14;Paul;15
7;Emily;13;Elias;14
8;Emma;13;Finn;13
9;Luisa;13;Jan;13
10;Sophia;13;Lukas;13
11;Johanna;12;Alexander;12
12;Charlotte;10;Felix;12
13;Jana;9;Mats;12
14;Lena;9;Fynn;11
15;Elisa;8;Moritz;10
16;Ella;8;Nick;10
17;Emilia;8;Julian;9
18;Leonie;8;Leonard;9
19;Lilly;8;Luca;9
20;Maya;8;Max;9
21;Mila;8;Ole;9
22;Katharina;7;Tom;9
23;Laura;7;Anton;8
24;Lisa;7;Joel;8
25;Nele;7;Leo;8
26;Elif;6;Liam;8
27;Fabienne;6;Luis;8
28;Lotta;6;Nico;8
29;Olivia;6;Tim;8
30;Sara;6;Ali;7
